component,layer,head,source,separation,delta_separation,behavior,delta_behavior,dfa_score,dfa_rank,necessity_separation,necessity_behavior,separation_control_z,behavior_control_z
L18H3,18,3,dfa,5.411552476882934,-1.1710311412811283,4.3890625,0.10781249999999964,1.4649168252944946,3,1.1710311412811283,-0.10781249999999964,-8.29473350725417,0.8211248555589715
L20H7,20,7,dfa,5.485119438171386,-1.0974641799926763,4.3125,0.03125,1.8668652772903442,1,1.0974641799926763,-0.03125,-7.794430220245694,0.4560148925608814
L6MLP,6,,dfa,5.666212821006775,-0.9163707971572874,4.6453125,0.3640625000000002,0.30935120582580566,13,0.9163707971572874,-0.3640625000000002,-6.56287718201722,2.0431255480423838
L5MLP,5,,dfa,5.724956774711609,-0.8576268434524534,4.46875,0.1875,0.9270144104957581,2,0.8576268434524534,-0.1875,-6.163380008072975,1.201137266026375
L8MLP,8,,dfa,6.010671472549438,-0.5719121456146246,4.0359375,-0.24531249999999982,1.213255763053894,1,0.5719121456146246,0.24531249999999982,-4.220333836647951,-0.8628517084730415
L19H5,19,5,dfa,6.1831278800964355,-0.39945573806762713,4.0984375,-0.18281249999999982,1.6073651313781738,2,0.39945573806762713,0.18281249999999982,-3.047517859879042,-0.5648027590868441
L8H10,8,10,dfa,6.348192167282105,-0.234391450881958,4.1375,-0.14374999999999982,0.3953440189361572,10,0.234391450881958,0.14374999999999982,-1.9249731196810442,-0.37852216572047065
L17H7,17,7,dfa,6.376138043403626,-0.206445574760437,4.409375,0.12812499999999982,-1.4167214632034302,4,0.206445574760437,-0.12812499999999982,-1.734922947197933,0.9179907641094865
L17H12,17,12,dfa,6.436092805862427,-0.14649081230163574,4.203125,-0.078125,0.8825528025627136,15,0.14649081230163574,0.078125,-1.3271914845330588,-0.06557076886496416
L20H12,20,12,random,6.443742632865906,-0.13884098529815692,4.35,0.06874999999999964,,,0.13884098529815692,-0.06874999999999964,-1.2751676748247809,0.6348442621925982
L6H6,6,6,dfa,6.457462167739868,-0.12512145042419487,4.196875,-0.08437499999999964,0.24848243594169617,19,0.12512145042419487,0.08437499999999964,-1.1818658954192465,-0.09537566380358221
L8H9,8,9,dfa,6.484255862236023,-0.09832775592803955,4.3140625,0.032812500000000355,-0.534115195274353,7,0.09832775592803955,-0.032812500000000355,-0.9996513089696678,0.463466116295538
