component,layer,head,source,separation,delta_separation,behavior,delta_behavior,dfa_score,dfa_rank,necessity_separation,necessity_behavior,separation_control_z,behavior_control_z
L19MLP,19,,dfa,33.985733079910275,-4.785183382034305,3.6546875,-0.6265624999999999,4.160764217376709,2,4.785183382034305,0.6265624999999999,-23.128473811938434,-11.180899154040754
L20MLP,20,,dfa,34.2182959318161,-4.552620530128479,4.3625,0.08124999999999982,4.734399318695068,1,4.552620530128479,-0.08124999999999982,-21.99364575999339,1.601302276320028
L11MLP,11,,dfa,35.30526270866394,-3.465653753280641,3.9828125,-0.2984374999999999,,,3.465653753280641,0.2984374999999999,-16.689615560025274,-5.255375312151647
L13MLP,13,,dfa,35.49620013236999,-3.274716329574588,4.178125,-0.10312500000000036,0.7324296236038208,19,3.274716329574588,0.10312500000000036,-15.757905517720287,-1.7282777872176631
L15MLP,15,,dfa,35.727728843688965,-3.0431876182556152,3.5796875,-0.7015625000000001,1.0025392770767212,13,3.0431876182556152,0.7015625000000001,-14.628123722036717,-12.535304603615408
L18H3,18,3,dfa,35.85573770999908,-2.915178751945497,4.3890625,0.10781249999999964,2.884549617767334,3,2.915178751945497,-0.10781249999999964,-14.003483753976687,2.0809875397110478
L12MLP,12,,dfa,36.07656617164612,-2.694350290298459,4.3453125,0.06406250000000036,0.5336665511131287,28,2.694350290298459,-0.06406250000000036,-12.925915557288043,1.2909176941258464
L19H15,19,15,dfa,36.13576476573944,-2.635151696205142,4.434375,0.15312500000000018,0.49122485518455505,30,2.635151696205142,-0.15312500000000018,-12.637046442284205,2.8992741654957435
L17MLP,17,,dfa,36.15313959121704,-2.617776870727539,4.18125,-0.09999999999999964,2.5665194988250732,4,2.617776870727539,0.09999999999999964,-12.552263171060746,-1.6718442268187064
L18MLP,18,,dfa,36.33609583377838,-2.4348206281662,4.5421875,0.2609374999999998,1.0327491760253906,12,2.4348206281662,-0.2609374999999998,-11.659498593074128,4.846231999259301
L18H2,18,2,dfa,36.437196898460385,-2.3337195634841947,4.278125,-0.0031249999999998224,1.3288674354553223,11,2.3337195634841947,0.0031249999999998224,-11.166159595283071,0.07759614554855021
L14MLP,14,,dfa,36.47470026016235,-2.2962162017822294,4.8140625,0.5328125000000004,1.3721729516983032,10,2.2962162017822294,-0.5328125000000004,-10.983155875846117,9.755951753967425
L20H7,20,7,dfa,37.134882950782774,-1.6360335111618056,4.3125,0.03125,1.6634397506713867,7,1.6360335111618056,-0.03125,-7.76168765516919,0.6983653099369295
L10MLP,10,,dfa,37.18392426967621,-1.5869921922683687,4.3875,0.10625000000000018,0.3153627812862396,45,1.5869921922683687,-0.10625000000000018,-7.5223826074000355,2.0527707595115854
L20H15,20,15,dfa,37.275847339630126,-1.4950691223144545,4.1078125,-0.17343750000000036,1.6617753505706787,8,1.4950691223144545,0.17343750000000036,-7.073829119387038,-2.9980328961939
L16MLP,16,,dfa,37.30497848987579,-1.4659379720687866,3.23125,-1.0499999999999998,1.8935197591781616,5,1.4659379720687866,1.0499999999999998,-6.931678959921344,-18.827646588097643
L15H15,15,15,dfa,37.35475182533264,-1.4161646366119385,3.815625,-0.4656250000000002,-0.29914456605911255,49,1.4161646366119385,0.4656250000000002,-6.6888019189304,-8.274570793495148
L17H2,17,2,dfa,37.566843605041505,-1.2040728569030748,4.3203125,0.0390625,0.8302558660507202,16,1.2040728569030748,-0.0390625,-5.653865774880915,0.8394492109342891
L19H5,19,5,dfa,37.63078451156616,-1.140131950378418,4.0984375,-0.18281249999999982,0.8367775678634644,15,1.140131950378418,0.18281249999999982,-5.341855779319114,-3.1673335773907216
L15H9,15,9,dfa,37.66658363342285,-1.104332828521727,4.6671875,0.3859374999999998,,,1.104332828521727,-0.3859374999999998,-5.167168173860858,7.1035744152170555
L20H1,20,1,dfa,37.74670941829682,-1.0242070436477633,4.353125,0.07187500000000036,0.7137162685394287,21,1.0242070436477633,-0.07187500000000036,-4.776181446557097,1.4320015951232061
L18H13,18,13,dfa,37.82900471687317,-0.9419117450714083,4.0140625,-0.26718750000000036,-1.782454252243042,6,0.9419117450714083,0.26718750000000036,-4.374608226232733,-4.691039708162216
