component,source,helping_delta,helping_loss,task_delta,task_loss,representation_delta,representation_loss,task_projection_delta,policy_tradeoff_score,helping_specificity_score,role
L16MLP,dfa,-1.0499999999999998,1.0499999999999998,-0.7843749999999998,0.7843749999999998,-1.4659379720687866,1.4659379720687866,-0.4396553039550781,1.0499999999999998,0.265625,generic_decision
L19MLP,dfa,-0.6265624999999999,0.6265624999999999,0.18906250000000036,-0.18906250000000036,-4.785183382034305,4.785183382034305,0.4762269020080572,0.8156250000000003,0.6265624999999999,policy_tradeoff
L15MLP,dfa,-0.7015625000000001,0.7015625000000001,-0.4343750000000002,0.4343750000000002,-3.0431876182556152,3.0431876182556152,0.3529755592346193,0.7015625000000001,0.2671874999999999,generic_decision
L19H12,dfa,-0.5062500000000001,0.5062500000000001,-0.06718750000000018,0.06718750000000018,-0.8294574260711656,0.8294574260711656,0.11136579513549805,0.5062500000000001,0.4390624999999999,helping_selective
L15H15,dfa,-0.4656250000000002,0.4656250000000002,-0.040625000000000355,0.040625000000000355,-1.4161646366119385,1.4161646366119385,0.024570465087890625,0.4656250000000002,0.4249999999999998,helping_selective
L17H13,dfa,-0.3609374999999999,0.3609374999999999,0.10312500000000036,-0.10312500000000036,-0.2062111854553237,0.2062111854553237,-0.1092474937438963,0.46406250000000027,0.3609374999999999,policy_tradeoff
L18H13,dfa,-0.26718750000000036,0.26718750000000036,0.05156250000000018,-0.05156250000000018,-0.9419117450714083,0.9419117450714083,0.17584257125854563,0.31875000000000053,0.26718750000000036,policy_tradeoff
L11MLP,dfa,-0.2984374999999999,0.2984374999999999,-0.31874999999999964,0.31874999999999964,-3.465653753280641,3.465653753280641,0.31896543502807617,0.2984374999999999,-0.020312499999999734,generic_decision
L20H15,dfa,-0.17343750000000036,0.17343750000000036,0.09218749999999964,-0.09218749999999964,-1.4950691223144545,1.4950691223144545,0.1940341949462896,0.265625,0.17343750000000036,policy_tradeoff
L18H0,dfa,-0.2625000000000002,0.2625000000000002,-0.1328125,0.1328125,-0.2019069910049467,0.2019069910049467,0.14267492294311523,0.2625000000000002,0.12968750000000018,mixed_or_small
L19H3,dfa,0.006249999999999645,-0.006249999999999645,0.25156250000000036,-0.25156250000000036,2.4159336328506456,-2.4159336328506456,-0.32424602508544886,0.2453125000000007,-0.006249999999999645,mixed_or_small
L19H5,dfa,-0.18281249999999982,0.18281249999999982,-0.19062499999999982,0.19062499999999982,-1.140131950378418,1.140131950378418,-0.17089042663574183,0.18281249999999982,-0.0078125,generic_decision
L17H15,dfa,-0.18281249999999982,0.18281249999999982,-0.08906249999999982,0.08906249999999982,-0.17025990486145304,0.17025990486145304,-0.1581559181213379,0.18281249999999982,0.09375,helping_selective
L8H3,random,-0.004687500000000178,0.004687500000000178,0.17499999999999982,-0.17499999999999982,-0.05213744640350626,0.05213744640350626,-0.07244176864623952,0.1796875,0.004687500000000178,mixed_or_small
L17H12,dfa,-0.078125,0.078125,0.08281250000000018,-0.08281250000000018,-0.21146311759948588,0.21146311759948588,0.07360467910766655,0.16093750000000018,0.078125,mixed_or_small
L17H6,dfa,-0.15781250000000036,0.15781250000000036,-0.07343749999999982,0.07343749999999982,-0.45165834426880025,0.45165834426880025,-0.057369422912596946,0.15781250000000036,0.08437500000000053,helping_selective
L17H11,dfa,-0.14687499999999964,0.14687499999999964,-0.47031250000000036,0.47031250000000036,-0.3660423994064317,0.3660423994064317,-0.2912691116333006,0.14687499999999964,-0.3234375000000007,mixed_or_small
L12MLP,dfa,0.06406250000000036,-0.06406250000000036,0.20156249999999964,-0.20156249999999964,-2.694350290298459,2.694350290298459,-0.33257188796997017,0.1374999999999993,-0.06406250000000036,representation_writer
L18H7,dfa,0.0031249999999998224,-0.0031249999999998224,0.12031249999999982,-0.12031249999999982,-0.36639008522033834,0.36639008522033834,-0.14275169372558594,0.1171875,-0.0031249999999998224,mixed_or_small
L13H9,random,-0.09687499999999982,0.09687499999999982,0.015625,-0.015625,-0.18258340358734415,0.18258340358734415,0.24830932617187518,0.11249999999999982,0.09687499999999982,mixed_or_small
L1MLP,random,-0.078125,0.078125,0.03125,-0.03125,0.34850316047668173,-0.34850316047668173,-0.04506998062133771,0.109375,0.078125,mixed_or_small
L20H13,dfa,-0.10625000000000018,0.10625000000000018,-0.12968750000000018,0.12968750000000018,-0.8133435487747178,0.8133435487747178,0.16904659271240252,0.10625000000000018,-0.0234375,representation_writer
L7H15,random,-0.10468749999999982,0.10468749999999982,-0.0625,0.0625,0.053963708877560634,-0.053963708877560634,0.10575637817382866,0.10468749999999982,0.04218749999999982,mixed_or_small
L13MLP,dfa,-0.10312500000000036,0.10312500000000036,-0.5406250000000004,0.5406250000000004,-3.274716329574588,3.274716329574588,0.48330965042114293,0.10312500000000036,-0.4375,representation_writer
L15H8,dfa,-0.10312500000000036,0.10312500000000036,-0.029687499999999645,0.029687499999999645,-0.14523766040802144,0.14523766040802144,0.11017904281616264,0.10312500000000036,0.07343750000000071,mixed_or_small
L20H7,dfa,0.03125,-0.03125,0.1328125,-0.1328125,-1.6360335111618056,1.6360335111618056,0.38046731948852575,0.1015625,-0.03125,representation_writer
L17MLP,dfa,-0.09999999999999964,0.09999999999999964,-0.8109374999999996,0.8109374999999996,-2.617776870727539,2.617776870727539,-0.6704751014709469,0.09999999999999964,-0.7109375,representation_writer
L18H2,dfa,-0.0031249999999998224,0.0031249999999998224,0.07968750000000036,-0.07968750000000036,-2.3337195634841947,2.3337195634841947,-0.5762251853942866,0.08281250000000018,0.0031249999999998224,representation_writer
L19H7,random,-0.056250000000000355,0.056250000000000355,0.015625,-0.015625,-0.02629261016845419,0.02629261016845419,-0.018282222747802557,0.07187500000000036,0.056250000000000355,mixed_or_small
L17H14,dfa,-0.04999999999999982,0.04999999999999982,0.017187500000000355,-0.017187500000000355,0.031111836433410645,-0.031111836433410645,0.06166982650756836,0.06718750000000018,0.04999999999999982,mixed_or_small
L6H9,random,-0.0234375,0.0234375,0.0390625,-0.0390625,-0.11263766288757182,0.11263766288757182,-0.01880149841308576,0.0625,0.0234375,mixed_or_small
L2H5,random,-0.026562499999999822,0.026562499999999822,0.025000000000000355,-0.025000000000000355,-0.12555038928985596,0.12555038928985596,-0.10070772171020437,0.05156250000000018,0.026562499999999822,mixed_or_small
L18H12,random,-0.04999999999999982,0.04999999999999982,-0.06406250000000036,0.06406250000000036,-0.4645387887954726,0.4645387887954726,0.0337499618530277,0.04999999999999982,-0.014062500000000533,mixed_or_small
L17H2,dfa,0.0390625,-0.0390625,0.08281250000000018,-0.08281250000000018,-1.2040728569030748,1.2040728569030748,0.3033733367919922,0.04375000000000018,-0.0390625,representation_writer
L3H1,random,-0.026562499999999822,0.026562499999999822,-0.015625,0.015625,0.08237316608428813,-0.08237316608428813,-0.09680318832397461,0.026562499999999822,0.010937499999999822,mixed_or_small
L20H2,dfa,0.03125,-0.03125,0.0546875,-0.0546875,-0.33171236515045166,0.33171236515045166,-0.004659461975097479,0.0234375,-0.03125,mixed_or_small
L1H13,random,-0.010937499999999822,0.010937499999999822,0.012500000000000178,-0.012500000000000178,0.03529684543609335,-0.03529684543609335,-0.0042692184448238635,0.0234375,0.010937499999999822,mixed_or_small
L4H2,random,-0.018749999999999822,0.018749999999999822,-0.07343749999999982,0.07343749999999982,-0.10834305286407186,0.10834305286407186,-0.008131027221679688,0.018749999999999822,-0.0546875,mixed_or_small
L15H4,dfa,0.14531250000000018,-0.14531250000000018,0.16249999999999964,-0.16249999999999964,0.773821234703064,-0.773821234703064,-0.21223230361938406,0.017187499999999467,-0.14531250000000018,mixed_or_small
L11H10,random,-0.012500000000000178,0.012500000000000178,-0.0234375,0.0234375,-0.011225104331970215,0.011225104331970215,0.08738775253295916,0.012500000000000178,-0.010937499999999822,mixed_or_small
L18H3,dfa,0.10781249999999964,-0.10781249999999964,0.11875000000000036,-0.11875000000000036,-2.915178751945497,2.915178751945497,1.1142794609069826,0.01093750000000071,-0.10781249999999964,representation_writer
L7H6,random,0.021874999999999645,-0.021874999999999645,0.032812500000000355,-0.032812500000000355,-0.07457456588745259,0.07457456588745259,-0.002030563354491477,0.01093750000000071,-0.021874999999999645,mixed_or_small
L15H14,dfa,0.014062499999999645,-0.014062499999999645,0.017187500000000355,-0.017187500000000355,0.4916091442108126,-0.4916091442108126,0.015331268310546875,0.0031250000000007105,-0.014062499999999645,mixed_or_small
L0H7,random,0.0015625000000003553,-0.0015625000000003553,-0.0078125,0.0078125,0.1818031311035142,-0.1818031311035142,-0.033898735046386186,-0.0015625000000003553,-0.009375000000000355,mixed_or_small
L19H4,dfa,0.020312500000000178,-0.020312500000000178,-0.03437499999999982,0.03437499999999982,-0.7895676851272597,0.7895676851272597,0.11637697219848686,-0.020312500000000178,-0.0546875,representation_writer
L7H13,random,0.020312500000000178,-0.020312500000000178,-0.048437500000000355,0.048437500000000355,-0.023793768882754307,0.023793768882754307,-0.088325786590576,-0.020312500000000178,-0.06875000000000053,mixed_or_small
L0H4,random,0.0234375,-0.0234375,-0.0859375,0.0859375,0.10571393966674947,-0.10571393966674947,-0.05041608810424769,-0.0234375,-0.109375,mixed_or_small
L12H2,random,0.048437500000000355,-0.048437500000000355,-0.125,0.125,0.07541689872741841,-0.07541689872741841,0.07762651443481516,-0.048437500000000355,-0.17343750000000036,mixed_or_small
L20H10,dfa,0.048437500000000355,-0.048437500000000355,-0.33437499999999964,0.33437499999999964,3.0242881774902344,-3.0242881774902344,-0.734467315673828,-0.048437500000000355,-0.3828125,mixed_or_small
L17H1,dfa,0.11875000000000036,-0.11875000000000036,0.06718750000000018,-0.06718750000000018,0.07568638324737265,-0.07568638324737265,0.109051609039307,-0.05156250000000018,-0.11875000000000036,mixed_or_small
L19H13,dfa,0.0546875,-0.0546875,-0.026562499999999822,0.026562499999999822,-0.8231536865234403,0.8231536865234403,0.22712421417236328,-0.0546875,-0.08124999999999982,representation_writer
L20H12,random,0.06874999999999964,-0.06874999999999964,-0.028125000000000178,0.028125000000000178,-0.051178789138795366,0.051178789138795366,0.0297826766967777,-0.06874999999999964,-0.09687499999999982,mixed_or_small
L20H14,dfa,0.1796875,-0.1796875,0.109375,-0.109375,-0.34303202629089213,0.34303202629089213,-0.10934562683105398,-0.0703125,-0.1796875,mixed_or_small
L20H1,dfa,0.07187500000000036,-0.07187500000000036,-0.08281250000000018,0.08281250000000018,-1.0242070436477633,1.0242070436477633,-0.04019575119018537,-0.07187500000000036,-0.15468750000000053,representation_writer
L17H5,random,0.07187500000000036,-0.07187500000000036,-0.0703125,0.0703125,0.03645119667053365,-0.03645119667053365,-0.07042779922485298,-0.07187500000000036,-0.14218750000000036,mixed_or_small
L19H0,dfa,0.07500000000000018,-0.07500000000000018,-0.09062500000000018,0.09062500000000018,-0.9169284105300903,0.9169284105300903,0.028732776641845703,-0.07500000000000018,-0.16562500000000036,representation_writer
L17H7,dfa,0.12812499999999982,-0.12812499999999982,0.05156250000000018,-0.05156250000000018,-0.6718988895416231,0.6718988895416231,-0.022221851348876775,-0.07656249999999964,-0.12812499999999982,mixed_or_small
L20MLP,dfa,0.08124999999999982,-0.08124999999999982,-0.84375,0.84375,-4.552620530128479,4.552620530128479,-0.6383905410766602,-0.08124999999999982,-0.9249999999999998,representation_writer
L12H1,random,0.10468749999999982,-0.10468749999999982,-0.06406250000000036,0.06406250000000036,-0.5949363231658964,0.5949363231658964,0.030659961700440164,-0.10468749999999982,-0.16875000000000018,mixed_or_small
L10MLP,dfa,0.10625000000000018,-0.10625000000000018,-0.34999999999999964,0.34999999999999964,-1.5869921922683687,1.5869921922683687,0.4989190101623535,-0.10625000000000018,-0.4562499999999998,representation_writer
L18H6,dfa,0.1328125,-0.1328125,0.017187500000000355,-0.017187500000000355,-0.4676705598831177,0.4676705598831177,-0.03547601699829084,-0.11562499999999964,-0.1328125,mixed_or_small
